,MAKE,X,Y,PLAYER,ROSTERON,ROSTERONVS,TEAM,TEAMVS,CODE,CODEVS,MDATE,MTIME,MLOC,SEASON,XHOOP,YHOOP,R,ANGLE,ZONE
0,0,3.11079990386956,9.592500114440849,Arthur Vadel Krisma Putra,"Arthur Vadel Krisma Putra, Coby Khae Jennings, Dio Tirta Saputra, Patrick Nikolas, Radithyo Wibowo","Abraham Damar Grahita, Avan Seputra, Julian Alexandre Chalias, M. Sandy Ibrahim Aziz, Widyanta Putra Teja",Dewa United Banten,Satria Muda Pertamina Bandung,DUB,SMP, 30/8/25,6:30 pm ,GOR Indoor Manahan,2025,1.575,7.5,2.5956190155068435,0.6331526621126382,2.2
1,1,1.450399951934808,14.42400054931635,Dio Tirta Saputra,"Arthur Vadel Krisma Putra, Coby Khae Jennings, Dio Tirta Saputra, Kennie Elbert Kristianto, Patrick Nikolas","Abraham Damar Grahita, Avan Seputra, Julian Alexandre Chalias, M. Sandy Ibrahim Aziz, Widyanta Putra Teja",Dewa United Banten,Satria Muda Pertamina Bandung,DUB,SMP, 30/8/25,6:30 pm ,GOR Indoor Manahan,2025,1.575,7.5,6.925121571417427,0.01799344178072504,4.1
2,0,1.7135999679565481,6.6270000457764,Dio Tirta Saputra,"Arthur Vadel Krisma Putra, Dio Tirta Saputra, Erick Ibrahim Junior, Kennie Elbert Kristianto, Patrick Nikolas","Abraham Damar Grahita, Avan Seputra, Julian Alexandre Chalias, M. Sandy Ibrahim Aziz, Yudha Saputera",Dewa United Banten,Satria Muda Pertamina Bandung,DUB,SMP, 30/8/25,6:30 pm ,GOR Indoor Manahan,2025,1.575,7.5,0.8839337481915505,2.9841438851617204,1.0
3,0,1.6240000534057721,12.0930004119873,Kristian Liem,"Dio Tirta Saputra, Erick Ibrahim Junior, Kristian Liem, Patrick Nikolas, Radithyo Wibowo","Antoni Erga, Avan Seputra, M. Sandy Ibrahim Aziz, Pandu Wiguna, Yudha Saputera",Dewa United Banten,Satria Muda Pertamina Bandung,DUB,SMP, 30/8/25,6:30 pm ,GOR Indoor Manahan,2025,1.575,7.5,4.593261781103846,0.010668014403347715,3.1
4,0,6.9104000854492815,12.05099945068365,Radithyo Wibowo,"Dio Tirta Saputra, Erick Ibrahim Junior, Kristian Liem, Patrick Nikolas, Radithyo Wibowo","Antoni Erga, Avan Seputra, M. Sandy Ibrahim Aziz, Pandu Wiguna, Yudha Saputera",Dewa United Banten,Satria Muda Pertamina Bandung,DUB,SMP, 30/8/25,6:30 pm ,GOR Indoor Manahan,2025,1.575,7.5,7.012709182044774,0.8645736885621224,4.2
5,1,2.3240000534057725,6.75449981689455,Erick Ibrahim Junior,"Dio Tirta Saputra, Erick Ibrahim Junior, Kristian Liem, Patrick Nikolas, Radithyo Wibowo","Antoni Erga, Avan Seputra, Pandu Wiguna, Widyanta Putra Teja, Yudha Saputera",Dewa United Banten,Satria Muda Pertamina Bandung,DUB,SMP, 30/8/25,6:30 pm ,GOR Indoor Manahan,2025,1.575,7.5,1.0567741494813871,2.353852661253905,1.0
6,0,4.07119998931884,12.0930004119873,Patrick Nikolas,"Dio Tirta Saputra, Erick Ibrahim Junior, Kristian Liem, Patrick Nikolas, Radithyo Wibowo","Antoni Erga, Juan Laurent Kokodiputra, Pandu Wiguna, Widyanta Putra Teja, Yudha Saputera",Dewa United Banten,Satria Muda Pertamina Bandung,DUB,SMP, 30/8/25,6:30 pm ,GOR Indoor Manahan,2025,1.575,7.5,5.227491479781758,0.4978230239605308,3.2
7,1,1.582000026702872,6.79650020599365,Kristian Liem,"Bryan Fernando Korisano, Dio Tirta Saputra, Erick Ibrahim Junior, Kristian Liem, Patrick Nikolas","Antoni Erga, Juan Laurent Kokodiputra, Pandu Wiguna, Widyanta Putra Teja, Yudha Saputera",Dewa United Banten,Satria Muda Pertamina Bandung,DUB,SMP, 30/8/25,6:30 pm ,GOR Indoor Manahan,2025,1.575,7.5,0.703534619290919,3.1316426923302854,1.0
8,0,2.150399951934808,8.872500228881849,Bryan Fernando Korisano,"Bryan Fernando Korisano, Dio Tirta Saputra, Erick Ibrahim Junior, Kristian Liem, Patrick Nikolas","Abraham Damar Grahita, Antoni Erga, Juan Laurent Kokodiputra, Pandu Wiguna, Yudha Saputera",Dewa United Banten,Satria Muda Pertamina Bandung,DUB,SMP, 30/8/25,6:30 pm ,GOR Indoor Manahan,2025,1.575,7.5,1.4882345188065311,0.39697741245499524,1.0
9,1,1.2767999839782602,14.381999588012699,Bryan Fernando Korisano,"Bryan Fernando Korisano, Dio Tirta Saputra, Erick Ibrahim Junior, Kristian Liem, Patrick Nikolas","Abraham Damar Grahita, Antoni Erga, Juan Laurent Kokodiputra, Pandu Wiguna, Yudha Saputera",Dewa United Banten,Satria Muda Pertamina Bandung,DUB,SMP, 30/8/25,6:30 pm ,GOR Indoor Manahan,2025,1.575,7.5,6.888457126161295,0.04330334462204284,4.1
