,MAKE,X,Y,PLAYER,ROSTERON,ROSTERONVS,TEAM,TEAMVS,CODE,CODEVS,MDATE,MTIME,MLOC,SEASON,XHOOP,YHOOP,R,ANGLE,ZONE
0,0,2.03559999465942,7.01999988555915,Putu J. Satria Pande,"Gede Elgi Wimbardi, Joshua Norman Ezekiel Nurse, Lutfi Alfian Eka Koswara, Putu J. Satria Pande, Xavier Charles Cannefax","John Wesley Murry II, Muhammad Fhirdan Guntara, Norbertas Giga, Pandu Wiguna, Yudha Saputera",Bali United Basketball,Prawira Bandung,BBC,PWB, 12/2/25,6:00 pm ,GOR Purna Krida,2025,1.575,7.5,0.6652461686800512,2.37681682411572,1.0
1,0,2.167199935913096,8.16299972534175,Putu J. Satria Pande,"Gede Elgi Wimbardi, Joshua Norman Ezekiel Nurse, Lutfi Alfian Eka Koswara, Putu J. Satria Pande, Xavier Charles Cannefax","John Wesley Murry II, Muhammad Fhirdan Guntara, Norbertas Giga, Pandu Wiguna, Yudha Saputera",Bali United Basketball,Prawira Bandung,BBC,PWB, 12/2/25,6:00 pm ,GOR Purna Krida,2025,1.575,7.5,0.8889709780969858,0.7290526668696662,1.0
2,0,1.5988000106811602,7.145999908447199,Joshua Norman Ezekiel Nurse,"Gede Elgi Wimbardi, Joshua Norman Ezekiel Nurse, Lutfi Alfian Eka Koswara, Putu J. Satria Pande, Xavier Charles Cannefax","John Wesley Murry II, Muhammad Fhirdan Guntara, Norbertas Giga, Pandu Wiguna, Yudha Saputera",Bali United Basketball,Prawira Bandung,BBC,PWB, 12/2/25,6:00 pm ,GOR Purna Krida,2025,1.575,7.5,0.35479924651528616,3.0744620263601865,1.0
3,1,1.7303999519348081,11.9354999542236,Joshua Norman Ezekiel Nurse,"Gede Elgi Wimbardi, Joshua Norman Ezekiel Nurse, Lutfi Alfian Eka Koswara, Putu J. Satria Pande, Xavier Charles Cannefax","John Wesley Murry II, Muhammad Fhirdan Guntara, Norbertas Giga, Pandu Wiguna, Yudha Saputera",Bali United Basketball,Prawira Bandung,BBC,PWB, 12/2/25,6:00 pm ,GOR Purna Krida,2025,1.575,7.5,4.438221376743041,0.03502117383896111,2.1
4,0,7.582399978637681,12.1890003204345,Lutfi Alfian Eka Koswara,"Gede Elgi Wimbardi, Joshua Norman Ezekiel Nurse, Lutfi Alfian Eka Koswara, Putu J. Satria Pande, Xavier Charles Cannefax","John Wesley Murry II, Muhammad Fhirdan Guntara, Norbertas Giga, Pandu Wiguna, Yudha Saputera",Bali United Basketball,Prawira Bandung,BBC,PWB, 12/2/25,6:00 pm ,GOR Purna Krida,2025,1.575,7.5,7.620733462624897,0.9080360032642767,4.2
5,1,3.1276000213623205,0.5789999842643699,Gede Elgi Wimbardi,"Bobby Arthur Williams Jr, Gede Elgi Wimbardi, Ida Bagus Ananta Wisnu Putra, Joshua Norman Ezekiel Nurse, Putu J. Satria Pande","John Wesley Murry II, Muhammad Fhirdan Guntara, Norbertas Giga, Pandu Wiguna, Yudha Saputera",Bali United Basketball,Prawira Bandung,BBC,PWB, 12/2/25,6:00 pm ,GOR Purna Krida,2025,1.575,7.5,7.093011211336612,2.920914355455611,4.4
6,0,1.7752000427246122,7.1895000457764,Ida Bagus Ananta Wisnu Putra,"Bobby Arthur Williams Jr, Gede Elgi Wimbardi, Ida Bagus Ananta Wisnu Putra, Joshua Norman Ezekiel Nurse, Putu J. Satria Pande","John Wesley Murry II, Muhammad Fhirdan Guntara, Norbertas Giga, Pandu Wiguna, Yudha Saputera",Bali United Basketball,Prawira Bandung,BBC,PWB, 12/2/25,6:00 pm ,GOR Purna Krida,2025,1.575,7.5,0.369445907650625,2.568905153356213,1.0
7,0,8.58760002136232,10.83300018310545,Ida Bagus Ananta Wisnu Putra,"Bobby Arthur Williams Jr, Gede Elgi Wimbardi, Ida Bagus Ananta Wisnu Putra, Joshua Norman Ezekiel Nurse, Putu J. Satria Pande","Jason Prawira Djaja Atmaja, John Wesley Murry II, Norbertas Giga, Pandu Wiguna, Yudha Saputera",Bali United Basketball,Prawira Bandung,BBC,PWB, 12/2/25,6:00 pm ,GOR Purna Krida,2025,1.575,7.5,7.764370501218484,1.1271135527710994,4.3
8,1,1.7752000427246122,8.16299972534175,Bobby Arthur Williams Jr,"Bobby Arthur Williams Jr, Ida Bagus Ananta Wisnu Putra, Irvine Kurniawan, Joshua Norman Ezekiel Nurse, Putu J. Satria Pande","De Vaughn Lamar Washington, Fabio Matheus Mailangkay, Jason Prawira Djaja Atmaja, John Wesley Murry II, Yudha Saputera",Bali United Basketball,Prawira Bandung,BBC,PWB, 12/2/25,6:00 pm ,GOR Purna Krida,2025,1.575,7.5,0.6925667425672222,0.2932548806557065,1.0
9,1,1.293599967956548,6.9344999313354,Putu J. Satria Pande,"Bobby Arthur Williams Jr, Ida Bagus Ananta Wisnu Putra, Irvine Kurniawan, Joshua Norman Ezekiel Nurse, Putu J. Satria Pande","De Vaughn Lamar Washington, Fabio Matheus Mailangkay, Jason Prawira Djaja Atmaja, John Wesley Murry II, Yudha Saputera",Bali United Basketball,Prawira Bandung,BBC,PWB, 12/2/25,6:00 pm ,GOR Purna Krida,2025,1.575,7.5,0.6316457121628576,2.679856685034313,1.0
