,MAKE,X,Y,PLAYER,ROSTERON,ROSTERONVS,TEAM,TEAMVS,CODE,CODEVS,MDATE,MTIME,MLOC,SEASON,XHOOP,YHOOP,R,ANGLE,ZONE
0,1,1.9823999786377082,6.83249988555915,Perrin Levon Buford,"Brandon Van Dorn Jawato, Darious Lee Moten, Hendrick Xavi Yonga, Jeffree David Withey, Perrin Levon Buford","Dio Tirta Saputra, Donell Cooper II, Erick Ibrahim Junior, Joshua Bryan Ibarra, Troy Akeem Gillenwater",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB,  6/6/26,7:00 pm ,GMSB Kuningan,2026,1.575,7.5,0.782004568639182,2.5936071100027633,1.0
1,1,4.72919982910144,8.81850013732905,Perrin Levon Buford,"Brandon Van Dorn Jawato, Darious Lee Moten, Hendrick Xavi Yonga, Jeffree David Withey, Perrin Levon Buford","Dio Tirta Saputra, Donell Cooper II, Erick Ibrahim Junior, Joshua Bryan Ibarra, Troy Akeem Gillenwater",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB,  6/6/26,7:00 pm ,GMSB Kuningan,2026,1.575,7.5,3.4186867616147985,1.1748576113797973,2.2
2,0,6.08159980773912,6.0719999313354,Brandon Van Dorn Jawato,"Brandon Van Dorn Jawato, Darious Lee Moten, Hendrick Xavi Yonga, Jeffree David Withey, Perrin Levon Buford","Dio Tirta Saputra, Donell Cooper II, Erick Ibrahim Junior, Joshua Bryan Ibarra, Troy Akeem Gillenwater",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB,  6/6/26,7:00 pm ,GMSB Kuningan,2026,1.575,7.5,4.727433344132985,1.8776561844655737,3.3
3,0,3.8135999679565202,14.2694995880127,Hendrick Xavi Yonga,"Brandon Van Dorn Jawato, Darious Lee Moten, Hendrick Xavi Yonga, Jeffree David Withey, Perrin Levon Buford","Dio Tirta Saputra, Donell Cooper II, Erick Ibrahim Junior, Joshua Bryan Ibarra, Troy Akeem Gillenwater",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB,  6/6/26,7:00 pm ,GMSB Kuningan,2026,1.575,7.5,7.130038884090257,0.3193688917602416,4.2
4,1,4.59760002136232,8.22749977111815,Perrin Levon Buford,"Agassi Yeshe Goantara, Andakara Prastawa Dhyaksa, Darious Lee Moten, Jeffree David Withey, Perrin Levon Buford","Dio Tirta Saputra, Donell Cooper II, Erick Ibrahim Junior, Joshua Bryan Ibarra, Troy Akeem Gillenwater",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB,  6/6/26,7:00 pm ,GMSB Kuningan,2026,1.575,7.5,3.10891730448342,1.33460210119685,2.2
5,0,7.694399871826081,11.776500320434499,Jeffree David Withey,"Agassi Yeshe Goantara, Andakara Prastawa Dhyaksa, Darious Lee Moten, Jeffree David Withey, Perrin Levon Buford","Dio Tirta Saputra, Donell Cooper II, Erick Ibrahim Junior, Joshua Bryan Ibarra, Troy Akeem Gillenwater",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB,  6/6/26,7:00 pm ,GMSB Kuningan,2026,1.575,7.5,7.465621861705924,0.9608472335994103,4.3
6,0,1.7191999626159682,7.2135000228882,Andakara Prastawa Dhyaksa,"Agassi Yeshe Goantara, Andakara Prastawa Dhyaksa, Darious Lee Moten, Jeffree David Withey, Perrin Levon Buford","Dio Tirta Saputra, Donell Cooper II, Erick Ibrahim Junior, Joshua Bryan Ibarra, Troy Akeem Gillenwater",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB,  6/6/26,7:00 pm ,GMSB Kuningan,2026,1.575,7.5,0.3207426789554343,2.675295931515995,1.0
7,1,5.95,1.67849993705745,Andakara Prastawa Dhyaksa,"Agassi Yeshe Goantara, Andakara Prastawa Dhyaksa, Darious Lee Moten, Perrin Levon Buford, Vincent Rivaldi Kosasih","Dio Tirta Saputra, Donell Cooper II, Hardianus Hardianus, Joshua Bryan Ibarra, Troy Akeem Gillenwater",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB,  6/6/26,7:00 pm ,GMSB Kuningan,2026,1.575,7.5,7.282203511495687,2.4971165702097506,4.4
8,0,1.9376000213622921,9.41100025177005,Perrin Levon Buford,"Agassi Yeshe Goantara, Andakara Prastawa Dhyaksa, Darious Lee Moten, Jeffree David Withey, Perrin Levon Buford","Dio Tirta Saputra, Hardianus Hardianus, Joshua Bryan Ibarra, Rio Disi, Troy Akeem Gillenwater",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB,  6/6/26,7:00 pm ,GMSB Kuningan,2026,1.575,7.5,1.9450965882847895,0.1875144451823638,1.0
9,0,2.1559999465942283,7.93200016021725,Jeffree David Withey,"Agassi Yeshe Goantara, Andakara Prastawa Dhyaksa, Darious Lee Moten, Jeffree David Withey, Perrin Levon Buford","Dio Tirta Saputra, Hardianus Hardianus, Joshua Bryan Ibarra, Rio Disi, Troy Akeem Gillenwater",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB,  6/6/26,7:00 pm ,GMSB Kuningan,2026,1.575,7.5,0.7240062681843477,0.9314386190990992,1.0
10,1,1.8928000640869043,8.058000183105449,Perrin Levon Buford,"Agassi Yeshe Goantara, Andakara Prastawa Dhyaksa, Darious Lee Moten, Jeffree David Withey, Perrin Levon Buford","Dio Tirta Saputra, Hardianus Hardianus, Joshua Bryan Ibarra, Rio Disi, Troy Akeem Gillenwater",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB,  6/6/26,7:00 pm ,GMSB Kuningan,2026,1.575,7.5,0.6421534747078419,0.5177167167778336,1.0
11,0,1.764000053405772,7.17150020599365,Perrin Levon Buford,"Agassi Yeshe Goantara, Andakara Prastawa Dhyaksa, Darious Lee Moten, Jeffree David Withey, Perrin Levon Buford","Dio Tirta Saputra, Hardianus Hardianus, Joshua Bryan Ibarra, Rio Disi, Troy Akeem Gillenwater",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB,  6/6/26,7:00 pm ,GMSB Kuningan,2026,1.575,7.5,0.37898962367009376,2.619500646561334,1.0
